#location service enabled;location service intializing;location updated;userheading updated;location provider;location provider class;time device [utc];time location [utc];latitude;longitude;accuracy [m];user heading [�];device orientation [�];speed [km/h];has gps fix;satellites used;satellites in view
True;False;False;True;unity;DeviceLocationProvider;20180524-163505.787;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;305.1;305.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.249;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;313.5;313.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163506.749;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;349.1;349.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.254;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;308.9;308.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163507.757;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;336.6;336.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.256;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;288.9;288.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163508.757;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;325.7;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.258;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;309.8;309.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163509.760;20180524-163427.922;51.08666657545862;17.05298076897365;34.0;328.4;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163510.256;20180524-163510.533;51.08670701097364;17.052583802026234;4.0;329.2;329.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163510.761;20180524-163510.533;51.08670701097364;17.052583802026234;4.0;331.0;331.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163511.259;20180524-163512.000;51.08709788579626;17.051897156495567;4.0;344.2;344.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163511.761;20180524-163512.000;51.08709788579626;17.051897156495567;4.0;317.6;317.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163512.282;20180524-163513.000;51.087367452714915;17.051446545366073;4.0;255.6;336.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163512.749;20180524-163513.000;51.087367452714915;17.051446545366073;4.0;255.6;286.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163513.263;20180524-163514.000;51.08739440932037;17.051693308603653;4.0;231.7;321.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163513.764;20180524-163514.000;51.08739440932037;17.051693308603653;4.0;231.7;280.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163514.165;20180524-163515.000;51.087610061598426;17.051972258350485;4.0;252.9;313.8;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163514.701;20180524-163516.000;51.08771788736039;17.052294123442984;3.0;258.1;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163515.204;20180524-163516.000;51.08771788736039;17.052294123442984;3.0;258.1;336.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163515.736;20180524-163517.000;51.08780549560693;17.0526267173719;3.0;277.6;325.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163516.240;20180524-163517.000;51.08780549560693;17.0526267173719;3.0;277.6;346.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163516.742;20180524-163518.000;51.08784593012628;17.052680361553985;3.0;294.2;319.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163517.240;20180524-163518.000;51.08784593012628;17.052680361553985;3.0;294.2;351.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163517.745;20180524-163519.000;51.087879625532075;17.05312024384707;3.0;302.2;311.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163518.243;20180524-163519.000;51.087879625532075;17.05312024384707;3.0;302.2;333.6;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163518.742;20180524-163520.000;51.08794701626999;17.0535923126494;3.0;304.0;287.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163519.244;20180524-163520.000;51.08794701626999;17.0535923126494;3.0;304.0;333.5;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163519.746;20180524-163521.000;51.087953755338376;17.054278958180063;3.0;305.7;281.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163520.252;20180524-163521.000;51.087953755338376;17.054278958180063;3.0;305.7;338.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163520.746;20180524-163522.000;51.087886364610256;17.054278958180063;3.0;303.6;278.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163521.251;20180524-163522.000;51.087886364610256;17.054278958180063;3.0;303.6;317.1;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163521.749;20180524-163523.000;51.087697670049195;17.054246771670815;3.0;304.0;306.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163522.250;20180524-163523.000;51.087697670049195;17.054246771670815;3.0;304.0;331.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163522.749;20180524-163524.000;51.08759658336051;17.05407511028815;3.0;303.9;322.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163523.252;20180524-163524.000;51.08759658336051;17.05407511028815;3.0;303.9;316.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163523.753;20180524-163525.000;51.08715853848992;17.054311144689315;3.0;301.5;336.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163524.255;20180524-163525.000;51.08715853848992;17.054311144689315;3.0;301.5;322.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163524.736;20180524-163526.000;51.087010276209426;17.054278958180063;3.0;297.4;305.3;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163525.239;20180524-163526.000;51.087010276209426;17.054278958180063;3.0;297.4;311.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163525.741;20180524-163527.000;51.08688897035374;17.053871262396232;3.0;291.3;322.2;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163526.255;20180524-163527.000;51.08688897035374;17.053871262396232;3.0;291.3;322.7;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163526.755;20180524-163528.000;51.08686201345368;17.05356012614015;3.0;282.8;341.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163527.260;20180524-163528.000;51.08686201345368;17.05356012614015;3.0;282.8;328.4;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;True;True;unity;DeviceLocationProvider;20180524-163527.740;20180524-163529.000;51.086653096945774;17.053066599664984;3.0;280.2;306.9;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
True;False;False;True;unity;DeviceLocationProvider;20180524-163528.246;20180524-163529.000;51.086653096945774;17.053066599664984;3.0;280.2;312.0;[not supported by provider];[not supported by provider];[not supported by provider];[not supported by provider]
